Player name,Market value
Jamal Musiala ,110.00
Harry Kane ,110.00
Florian Wirtz ,100.00
Leroy Sané ,80.00
Joshua Kimmich ,75.00
Xavi Simons ,70.00
Alphonso Davies ,70.00
Kingsley Coman ,65.00
Matthijs de Ligt ,65.00
Dayot Upamecano ,60.00
Min-jae Kim ,60.00
Loïs Openda ,55.00
Dani Olmo ,50.00
Jeremie Frimpong ,50.00
Mathys Tel ,50.00
Serge Gnabry ,45.00
Serhou Guirassy ,40.00
Edmond Tapsoba ,40.00
Julian Brandt ,40.00
Exequiel Palacios ,40.00
Castello Lukeba ,40.00
Victor Boniface ,40.00
Leon Goretzka ,40.00
Gregor Kobel ,40.00
Piero Hincapié ,35.00
Mohamed Simakan ,35.00
Donyell Malen ,35.00
Nico Schlotterbeck ,35.00
Alejandro Grimaldo ,35.00
Odilon Kossounou ,35.00
Manu Koné ,35.00
Benjamin Sesko ,30.00
Noussair Mazraoui ,30.00
Youssoufa Moukoko ,30.00
Hugo Larsson ,28.00
Xaver Schlager ,28.00
Karim Adeyemi ,28.00
Konrad Laimer ,28.00
Jamie Bynoe-Gittens ,28.00
Felix Nmecha ,25.00
Lovro Majer ,25.00
Enzo Millot ,25.00
Jonas Wind ,25.00
Jonathan Tah ,25.00
Amine Adli ,25.00
Eljif Elmas ,24.00
Willian Pacho ,24.00
Christoph Baumgartner ,24.00
Nathan Tella ,23.00
Patrik Schick ,22.00
Hiroki Ito ,22.00
Niklas Süle ,22.00
Maxence Lacroix ,20.00
Granit Xhaka ,20.00
Nicolas Seiwald ,20.00
Philipp Lienhart ,20.00
Giovanni Reyna ,20.00
Marcel Sabitzer ,20.00
Ermedin Demirovic ,20.00
Benjamin Henrichs ,20.00
Mattias Svanberg ,18.00
Patrick Wimmer ,18.00
Kiliann Sildillia ,18.00
Sébastien Haller ,18.00
Ritsu Doan ,18.00
Robin Koch ,18.00
Amadou Haidara ,17.00
Chris Führich ,17.00
David Raum ,17.00
Danilho Doekhi ,17.00
Deniz Undav ,17.00
Timo Werner ,17.00
Tuta ,15.00
Adam Hlozek ,15.00
Diogo Leite ,15.00
El Chadaille Bitshiabu ,15.00
Omar Marmoush ,15.00
Raphaël Guerreiro ,15.00
Julian Ryerson ,15.00
Anton Stach ,15.00
Robin Gosens ,15.00
Ko Itakura ,15.00
Matthias Ginter ,15.00
Farès Chaïbi ,15.00
Joakim Maehle ,14.00
Leandro Barreiro ,14.00
Angelo Stiller ,14.00
Maximilian Wöber ,14.00
Brenden Aaronson ,14.00
Nico Elvedi ,14.00
Junior Dina Ebimbe ,14.00
Niclas Füllkrug ,13.00
Ellyes Skhiri ,13.00
Ozan Kabak ,13.00
Salih Özcan ,13.00
Jonas Hofmann ,13.00
Roland Sallai ,12.00
Ramy Bensebaini ,12.00
Vincenzo Grifo ,12.00
Joe Scally ,12.00
